OID,Objektnamn,NO_Askeladden,Count,NAVN,askeladdenid,LokalitetsID,X,Y,LONG,LAT
205,Teigen 7:8b,145528,1,Vingen Teigen 8,145528-8,145528,-8765.2111,6892984.16958,5.31544503154,61.8273719231999
206,Teigen 7:9,145528,1,Vingen Teigen 9 (Petter-Emil-steinen),145528-9,145528,-8763.54774999999,6892987.64579,5.31546637315,61.8274048979
207,Brattebakken 9:1,145532,11,Vingen Brattebakken,145532,145532,-8706.77185712,6892990.36045,5.31652125473,61.8275044961
208,Brattebakken 9:1b,145532,1,Vingen Brattebakken,145532,145532,-8706.77185712,6892990.36045,5.31652125473,61.8275044961
209,Brattebakken 9:1a,145532,1,Vingen Brattebakken,145532,145532,-8706.77185712,6892990.36045,5.31652125473,61.8275044961
210,Brattebakken 9:2,145532,1,Vingen Brattebakken,145532,145532,-8706.77185712,6892990.36045,5.31652125473,61.8275044961
211,Brattebakken 9:3b,145532,1,Vingen Brattebakken,145532,145532,-8706.77185712,6892990.36045,5.31652125473,61.8275044961
212,Brattebakken 9:3a,145532,1,Vingen Brattebakken,145532,145532,-8706.77185712,6892990.36045,5.31652125473,61.8275044961
213,Brattebakken 9,145532,1,Vingen Brattebakken,145532,145532,-8706.77185712,6892990.36045,5.31652125473,61.8275044961
214,Vindbakken 10:1,145556,1,Vingen Vindbakken 1,145556-1,145556,-8739.31948800999,6893025.5136,5.31581318034,61.8277722365
215,Vindbakken 10:10b,145556,1,Vingen Vindbakken 10,145556-10,145556,-8723.81804999999,6893016.01530999,5.31613002247,61.8277088222
216,Vindbakken 10,145556,1,Vingen Vindbakken 10,145556-10,145556,-8723.81804999999,6893016.01530999,5.31613002247,61.8277088222
217,Vindbakken 10:11,145556,1,Vingen Vindbakken 11,145556-11,145556,-8708.80687125999,6893026.49775,5.31638144005,61.8278215612999
218,Vindbakken 10:12a,145556,1,Vingen Vindbakken 12,145556-12,145556,-8708.18903472,6893018.78259999,5.31641472181,61.8277541133999
219,Vindbakken 10:19,145556,1,Vingen Vindbakken 19,145556-19,145556,-8717.36488020999,6893023.0436,5.31623100453,61.8277796044
220,Vindbakken 10:2a,145556,1,Vingen Vindbakken 2,145556-2,145556,-8735.83352177,6893016.64685,5.31590338095,61.8276984163
221,Vindbakken 10:23,145556,1,Vingen Vindbakken 23,145556-23,145556,-8704.21594999999,6893008.12621,5.31651907513,61.827665105
222,Vindbakken 10:24,145556,1,Vingen Vindbakken 24,145556-24,145556,-8709.27019343999,6893021.25054999,5.31638754079,61.8277745127999
223,Vindbakken 10:28,145556,1,Vingen Vindbakken 28,145556-28,145556,-8736.79874999999,6893029.04255999,5.31585041973,61.8278068190999
224,Vindbakken 10:29,145556,1,Vingen Vindbakken 29,145556-29,145556,-8672.51985,6892994.31039,5.31715114325,61.8275850389999
225,Vindbakken 10:32b,145556,1,Vingen Vindbakken,145556,145556,-8712.49238861,6893017.5198,5.31633774145,61.8277372109
226,Vindbakken 10:32a,145556,1,Vingen Vindbakken,145556,145556,-8712.49238861,6893017.5198,5.31633774145,61.8277372109
227,Vindbakken 10:35,145556,1,Vingen Vindbakken,145556,145556,-8712.49238861,6893017.5198,5.31633774145,61.8277372109
228,Vindbakken 10:37,145556,1,Vingen Vindbakken,145556,145556,-8712.49238861,6893017.5198,5.31633774145,61.8277372109
229,Vindbakken 10:4,145556,1,Vingen Vindbakken 4,145556-4,145556,-8734.07639761,6893013.08524999,5.31594629146,61.8276692393
230,Vindbakken 10:5,145556,1,Vingen Vindbakken 5,145556-5,145556,-8733.556,6893013.51747,5.31595481363,61.8276737565999
231,Vindbakken 10:6,145556,1,Vingen Vindbakken,145556,145556,-8712.49238861,6893017.5198,5.31633774145,61.8277372109
232,Vindbakken 10:7,145556,1,Vingen Vindbakken 7,145556-7,145556,-8729.78459268,6893015.46944999,5.31601989829,61.8276960497
233,Vindbakken 10:8,145556,1,Vingen Vindbakken 8,145556-8,145556,-8725.69794999999,6893014.91894,5.31609792758,61.8276966182
234,Vindbakken 10:9,145556,1,Vingen Vindbakken 9,145556-9,145556,-8725.4338,6893016.06625999,5.31609964107,61.8277071222999
235,Bakkane 11:1,145557,1,Vingen Bakkane 1 (Fatsteinen),145557-1,145557,-8667.65359999999,6893009.90507999,5.31719831541,61.8277295112999
236,Bakkane 11:10,145557,1,Vingen Bakkane 10,145557-10,145557,-8609.11325,6893039.61634999,5.3182102509,61.8280703352999
237,Bakkane 11,145557,1,Vingen Bakkane 11,145557-11,145557,-8610.64533083999,6893040.93534999,5.3181778657,61.8280799680999
238,Bakkane 11:12,145557,1,Vingen Bakkane 12,145557-12,145557,-8614.82621309999,6893043.0722,5.31809360657,61.8280933126999
239,Bakkane 11:14,145557,1,Vingen Bakkane 14,145557-14,145557,-8612.24289510999,6893035.25645,5.31816395172,61.8280275899
240,Bakkane 11:18,145557,1,Vingen Bakkane 18,145557-18,145557,-8617.1915,6893045.17042,5.31804343472,61.8281087318
241,Bakkane 11:19,145557,1,Vingen Bakkane 19,145557-19,145557,-8634.71258160999,6893055.24749999,5.31768716537,61.8281745840999
242,Bakkane 11:2c,145557,1,Vingen Bakkane 2,145557-2,145557,-8660.84930691,6893019.57065,5.31729844759,61.8278240972
243,Bakkane 11:2b,145557,1,Vingen Bakkane 2,145557-2,145557,-8660.84930691,6893019.57065,5.31729844759,61.8278240972
244,Bakkane 11:2a,145557,1,Vingen Bakkane 2,145557-2,145557,-8660.84930691,6893019.57065,5.31729844759,61.8278240972
245,Bakkane 11:20,145557,1,Vingen Bakkane 20,145557-20,145557,-8610.31352555999,6893078.2975,5.31807891241,61.8284110238
